filename,bpm,key,camelot,energy
SERGIK - Everlast.wav,86.1,D minor,7A,6
SERGIK - Sometimes Ft. Bessie Jones.wav,80.7,G# minor,1A,5
SERGIK - Quarter Keys ft Andino.wav,86.1,D major,10B,6
SERGIK - Duce.wav,112.3,D major,10B,6
SERGIK - Atlantis.wav,86.1,B minor,10A,5
SERGIK - Cruise Control 1.wav,129.2,D minor,7A,5
SERGIK - Up n Down.wav,129.2,F# minor,11A,7
SERGIK x Optikz - Foe Fos.wav,92.3,A major,11B,7
SERGIK x L9V x Silent Jay - We Should Save.wav,123.0,D minor,7A,5
SERGIK x Silent Jay - Move n Groove.wav,86.1,A minor,8A,6
SERGIK - Better With You.wav,123.0,D minor,7A,6
SERGIK x Breauxxx - The Bag  (DiscoTech SRGFLIP).wav,129.2,A major,11B,6
SERGIK x Javi - Smoke Break at Da Crib VIP.2.wav,86.1,D major,10B,5
SERGIK - Daze V2.wav,152.0,E minor,9A,6
SERGIK x Emperor Obscure - Baggin On Me.wav,123.0,D major,10B,6
SERGIK Remix - Damian Marley - Welcome To Jamrock.wav,129.2,G minor,6A,6
SERGIK - Let the music.wav,117.5,C major,8B,5
SERGIK - Spanktula.wav,86.1,D minor,7A,8
SERGIK - Hello Hello.wav,86.1,A major,11B,6
SERGIK - All I Want is.wav,123.0,D major,10B,6
SERGIK - Space Dust.wav,86.1,A minor,8A,6
SERGIK x NOOD -  Refreshments.wav,86.1,D major,10B,5
SERGIK - Dandy - Cmaj - 105bpm.wav,147.7,D major,10B,6
SERGIK - What Is What Xtendo.wav,89.1,D minor,7A,8
SERGIK Rework - Say Yeah v3.wav,129.2,A major,11B,6
Sergik - Bloops n Kats.wav,123.0,D major,10B,7
SERGIK - Sunrise Bass.wav,92.3,D minor,7A,6
SERGIK - Fk Wat They Say.wav,123.0,F# minor,11A,7
SERGIK - Bender 1 1.wav,86.1,D major,10B,7
SERGIK - Wonked (135 BPM Drum Rework).wav,89.1,A major,11B,6
SERGIK x Skeezy - Keep Myself.wav,86.1,A major,11B,7
SERGIK - Jumpin.wav,129.2,A major,11B,5
SERGIK x Cy Heck - On A Diet V2 1.wav,86.1,D major,10B,5
SERGIK - Perspectives.wav,123.0,A major,11B,9
SERGIK x Isaiah Walker - Be Yourself.wav,123.0,A major,11B,5
SERGIK x CEEMOAR x GOJI - SlimThick.wav,129.2,D major,10B,6
SERGIK x Bobs Secret - From The Soul.wav,86.1,A major,11B,6
SERGIK x Forgotten Modern - Flip Da Switch.wav,129.2,D major,10B,7
SERGIK - 24_7 VIP 2.wav,86.1,A major,11B,6
SERGIK - Do It Right (Peggy Gou Remix).wav,147.7,D minor,7A,7
SERGIK - Illusions.wav,86.1,D major,10B,6
SERGIK - The Seed.wav,80.7,D major,10B,5
SERGIK - BS Aside.wav,123.0,A major,11B,7
SERGIK X OLEA - Bad Water.wav,86.1,A major,11B,8
SERGIK x Breauxx - Walk Dat Walk.wav,86.1,D minor,7A,6
SERGIK - Gypsy - House.wav,152.0,D minor,7A,7
SERGIK - Subliminal acid.wav,123.0,A major,11B,6
Sergik - Its On till Dawn.wav,86.1,A major,11B,6
SERGIK - Bad Decisions.wav,123.0,A minor,8A,8
SERGIK x Slick Floyd - Bout Dat.wav,86.1,D major,10B,6
SERGIK x Javi - Smoke Break at Da Crib VIP1.wav,86.1,D major,10B,6
SERGIK - Temptations.wav,123.0,D major,10B,6
SERGIK - Reverie.wav,123.0,D minor,7A,6
SERGIK x SRIJA - Disco Power.wav,129.2,D major,10B,6
SERGIK x Sean Watson x NOOD - Aqua.wav,86.1,A major,11B,5
Sergik - Shifting.wav,86.1,B minor,10A,6
SERGIK - Giddup - 125BPM CMaj.wav,123.0,D major,10B,7
SERGIK x Cy Heck - On A Diet V2.wav,86.1,D major,10B,5
SERGIK x Cy heck - On A Diet V3.wav,123.0,D major,10B,6
SERGIK - Spring Swing 1.wav,86.1,A minor,8A,7
Sergik ft. 1200runway x DJ Epidemik - Its My Birthday_.wav,123.0,C major,8B,5
SERGIK - Tricks.wav,89.1,D major,10B,7
Sergik - Desert Dweller.wav,117.5,B minor,10A,6
SERGIK x Breauxxxx x Janis - The Bag (OG MiX).wav,129.2,A major,11B,6
SERGIK x Forgotten Modern - Flip Da Switch v2.wav,129.2,D major,10B,7
SERGIK - On and On.wav,129.2,D major,10B,5
SERGIK - Wandering.wav,117.5,G# minor,1A,5
SERGIK x Ben Frank x Sean H - Wantchoo.wav,117.5,F# minor,11A,6
Sergik x Mateo Haze - Changing Lanes.wav,86.1,A minor,8A,6
SERGIK x SLICK FLOYD - Feelin Good V2.wav,86.1,D minor,7A,8
SERGIK - Came to get Lit.wav,86.1,D major,10B,6
SERGIK - 24_7 VIP 1.wav,123.0,E minor,9A,6
SERGIK - Lunar Gravity.wav,86.1,D major,10B,5
SERGIK x Frank Terry - Repeat.wav,86.1,D major,10B,7
SERGIK - What You Gon Do.wav,86.1,A minor,8A,8
Sergik - Music is my drug.wav,86.1,A major,11B,6
SERGIK x Curiousoul - Midnight Mirage.wav,86.1,D minor,7A,6
SERGIK - Tuck n Roll.wav,129.2,A minor,8A,6
SERGIK - What u gotta do.wav,129.2,A major,11B,7
SERGIK x Breauxx - You Can't 1.wav,86.1,D major,10B,6
SERGIK x Sean Hart - Dandelicious.wav,117.5,A minor,8A,6
Lando - Vacation.mp3,123.0,A minor,8A,6
These times.wav,92.3,B minor,10A,4
Sean Hart - SHAKE THAT ASS FUNKERSIZE.wav,86.1,F# minor,11A,9
chillout vibin.mp3,123.0,A major,11B,5
Soundolosophy.wav,117.5,A major,11B,5
hip hop jordan 34-2.mp3,112.3,A major,11B,6
ANDINO x SERGIK -  ELROW 1.wav,129.2,D major,10B,7
untitled.fyjump3.mp3,147.7,G minor,6A,4
Chill hip hop 2.mp3,92.3,C major,8B,6
Chill hip hop 3.mp3,129.2,D major,10B,6
AZ.mp3,89.1,D major,10B,6
the LNGwayyyyyyyyy v1.wav,92.3,E major,12B,6
TombStoned (0).wav,92.3,A minor,8A,5
Stranger wings 140.wav,143.6,A major,11B,5
Janis & The Planets x SERGIK - Searching.wav,92.3,F major,7B,5
Another Day.wav,123.0,A minor,8A,6
You Said That (0).wav,89.1,A major,11B,7
long ago (1).wav,89.1,A major,11B,5
Dream Edge_2.mp3,99.4,F# minor,11A,5
Trip Hop 3.mp3,152.0,D major,10B,6
BeJanis x Sergik's Secret - Soul Infinite.wav,92.3,D minor,7A,6
Old Fellas 4 (Sin Drum).mp3,80.7,A major,11B,5
8.12 - haus.mp3,123.0,B minor,10A,6
OG Coconut - sturdy_uh.wav,143.6,E minor,9A,7
Cold Sweat.wav,89.1,A# minor,3A,5
SERIK x Stan The Guitarman - Well Known Treat.wav,123.0,D major,10B,6
Ease (0).wav,86.1,A minor,8A,5
SHAKE THAT ASS FUNKERSIZE.wav,86.1,F# minor,11A,9
808 start up!.mp3,80.7,A minor,8A,6
DURO - no breakdown no vox 11.30.22.mp3,86.1,B minor,10A,6
Tang Wu (0).wav,123.0,A major,11B,6
Optikz x SERGIK(Vips) - Crowd Control - Trap.wav,123.0,A minor,8A,8
9.22.24 Empty 120 BPM Note C.aif,117.5,C major,8B,6
Goin Backwards.mp3,136.0,A minor,8A,7
"DRE, Dilon Karim - Frustrated (Unreleased).wav",143.6,A major,11B,5
Realm Transfer.wav,86.1,D minor,7A,6
ARZA - Swear Fo 2.wav,92.3,F# minor,11A,6
relaxation.mp3,123.0,A minor,8A,4
Trip Hop 4.mp3,86.1,A major,11B,6
How I Work [vocals].mp3,129.2,D major,10B,7
RIdin.wav,86.1,F# minor,11A,6
Dunes of Dawn & Dilon Karim - Paranoia (UNR).mp3,92.3,A major,11B,5
Andino x Sergik - Tradicion master.wav,86.1,D major,10B,6
no love (0).wav,123.0,A minor,8A,6
3 41 AM.wav,86.1,D major,10B,6
Cory Hill x SERGIK - Love.wav,117.5,A major,11B,5
Lodin - A Letter From Home 2.mp3,129.2,D major,10B,6
Hidden World of Fungi (Instrumental)  - Michael Crowe x SERGIK.wav,129.2,C major,8B,5
Cory Hill x SERGIK - Love 1.wav,86.1,A major,11B,5
Donuts N Milk (0).wav,89.1,B major,1B,6
Rainy Daze (0).wav,86.1,D minor,7A,6
Noir Pt 2.mp3,83.4,A# minor,3A,5
RUNTHA v222.mp3,86.1,E minor,9A,7
Pixelated Thoughts (0).wav,89.1,A major,11B,6
england 2.wav,86.1,E major,12B,6
8.14 - novation.mp3,86.1,F minor,4A,5
BOTEV - WALK WIT IT V3.wav,129.2,A minor,8A,8
Jcreate - Sick rat  COLLAB 83.261 bpm.mp3,86.1,G# minor,1A,6
Mine Edit.mp3,86.1,F# minor,11A,6
dane n jc.mp3,86.1,A major,11B,5
jazz new.mp3,129.2,D minor,7A,6
uncertain.wav,78.3,B minor,10A,5
Trip Hop 7.mp3,89.1,D minor,7A,6
womwomwom 121BPM v2 1.wav,86.1,A major,11B,6
Moon Night Light.mp3,86.1,C major,8B,4
Overtime (0).wav,89.1,A major,11B,5
Evolution theory.mp3,86.1,A minor,8A,6
Humanity Unknown.mp3,80.7,D major,10B,7
Lodin - A Letter From Home 1.mp3,129.2,D major,10B,6
tommorow (0).wav,129.2,G# minor,1A,4
romin killa 2.mp3,129.2,D major,10B,7
NooD - bitch i grow v3 1.wav,123.0,F major,7B,5
DINO x SERGIK - MEXICAN CHEETOS.wav,129.2,D major,10B,6
Silent Jay x Sergik - It's Getting FINAL.wav,86.1,D major,10B,6
FALL AWAY FLIP final_.wav,143.6,A minor,8A,3
Rainy Daze.wav,86.1,D minor,7A,6
Make you lose control (BPM 127) (JcreateXGRAPHX).wav,129.2,E major,12B,5
on_a_roll_nunzio_packs_v2-1.wav,129.2,D# major,5B,6
GUCCI'S DJ BAG M1.aif,147.7,D major,10B,6
casta collab 2 master 2.wav,129.2,E minor,9A,8
18-Audio 0001 [2024-07-25 035127].aif,92.3,A minor,8A,5
Cory Hill x SERGIK - Love v2.wav,117.5,A major,11B,5
HOP BUNNY HOP.mp3,92.3,E major,12B,7
Leaned out 1 (1).wav,152.0,G minor,6A,9
nunzio 430 final mix.mp3,123.0,E major,12B,5
AUDIO_6480.mp3,86.1,F# minor,11A,6
ARZA - Swear Fo 2 vocals.wav,129.2,G minor,6A,9
new leef v9.wav,123.0,D major,10B,6
SHAKE THAT ASS FUNKERSIZE 2.wav,86.1,F# minor,11A,9
england (BPM 124).wav,86.1,E major,12B,5
112 Cmin - Wanna B. 11.29.22 - skeleton.mp3,89.1,G# minor,1A,5
_dissss.aif,123.0,A minor,8A,5
THE ALCHEMIST x GRISELDA TYPE BEAT - Resolve.mp3,80.7,A major,11B,6
hip hop 18.mp3,143.6,D minor,7A,6
AZ 2.mp3,89.1,D major,10B,6
_  .wav,86.1,D major,10B,6
sunset_TK15887069.mp3.mp3,123.0,D minor,7A,5
9..10.24 Lonely 111 BPM Note F#.aif,92.3,F# minor,11A,6
ARZA - Swear Fo.wav,92.3,F# minor,11A,6
barbie remix v333.mp3,86.1,A minor,8A,6
Dilon Karim - Attitude (Alternate Dub).wav,86.1,D major,10B,6
Lucidic.wav,86.1,E minor,9A,6
Sploink Music.wav,80.7,B minor,10A,7
connection.wav,152.0,D major,10B,7
MA_DanBarracuda_Medianoche_Instrumental.wav,117.5,F# major,2B,5
Barrio Bros - Bloops.wav,86.1,A major,11B,6
Tommorow maybe-2.wav,117.5,C# major,3B,5
Clear Dessert Skies Ft. Mewgun (guitar).mp3,86.1,A major,11B,5
space dust.wav,123.0,C minor,5A,6
Dunes of Dawn & Dilon Karim - Thought Process (DEMO).wav,143.6,D major,10B,6
Arza - Dark Triad 120bpm D min.wav,92.3,D minor,7A,3
Ego Trippin Master.wav,89.1,A minor,8A,6
I'll wait Hip Hop Type Beat.wav,92.3,D major,10B,6
Mike Crowe Mycology Series V1 - Sounds by SERGIK.wav,129.2,D major,10B,5
in the town (0).wav,123.0,B minor,10A,6
Lucy Lights.wav,112.3,A major,11B,5
sine_init v2.wav,92.3,B minor,10A,5
SnoopCat.wav,92.3,F# minor,11A,6
Slick Floyd x SERGIK x Silent Jay - Sonic Movement FINAL.wav,129.2,D major,10B,6
Floating the city (0).wav,123.0,D minor,7A,6
OPTIKZ SWXTCHBLADE 174 E' (M1).aif,89.1,A minor,8A,7
i do remember logan v2 3.wav,117.5,E major,12B,5
BUBBLES NEW.wav,143.6,A major,11B,5
jake alexander v1.aif,123.0,A minor,8A,5
Cloupour JFears.wav,78.3,D major,10B,6
9.24.24 What A Day 120 BPM Note F.aif,123.0,F major,7B,6
No Beer Here (0).wav,92.3,D minor,7A,6
This is the sound.wav,123.0,D major,10B,7
EAT THE ACID V2.wav,86.1,A minor,8A,7
WHAT THE FUCK.mp3,86.1,A major,11B,4
upcoming (0).wav,99.4,E major,12B,6
Arza - Art Of Dying 127bpm prod. Arza E min.wav,89.1,F# major,2B,5
Dmtree - Overgrown.wav,92.3,G# minor,1A,6
SEERGIK - All The Vibes.wav,86.1,D major,10B,7
phase distortion v3.wav,89.1,D major,10B,5
Arza - Hologram G min.wav,92.3,G minor,6A,5
Sugar Cubes (0).wav,78.3,A major,11B,5
BATTERYLO & PALMA-  LZRR V1.wav,129.2,B minor,10A,5
Andino x Sergik x Janis - Tradicion.wav,129.2,D major,10B,6
double it j dawg.mp3,117.5,G# minor,1A,6
bobby BATTLO v7.wav,92.3,D major,10B,6
8.28.24 Tryin Be 120 BPM Note E.aif,86.1,E minor,9A,6
BOBBY HILL.aif,86.1,A major,11B,6
Hip Hop.mp3,89.1,A minor,8A,6
JXH collab 1.mp3,112.3,F# minor,11A,6
Dont Fight it - LODB X JCREATE (0).wav,92.3,F# minor,11A,6
Hip Hop 8.mp3,89.1,D major,10B,6
Arza - Jumpin Out The Jet 150bpm B min.wav,76.0,F# minor,11A,6
OMNOM x SERGIK - CONTRABAND.wav,86.1,C major,8B,7
Hip Hop 5.mp3,89.1,E minor,9A,6
understood.wav,92.3,F# minor,11A,5
Fly Aliens - SERGIC x NAM x Mateo Haze.wav,123.0,F# major,2B,6
Overtime.wav,89.1,A major,11B,5
Hip Hop 12.mp3,143.6,F# minor,11A,5
Arza - Figure It Out 135bpm Gb min.wav,143.6,F# minor,11A,5
Hip Hop 13.mp3,86.1,D major,10B,6
minimal baby - Frandisco.mp3,129.2,D minor,7A,5
Equipoise (0).wav,86.1,A minor,8A,6
Instrumental Michael Crowe Mycology Series V1 - Sounds by SERGIK.wav,129.2,D minor,7A,5
OG Coconut - Vivid (SERGIK Master).wav,123.0,A minor,8A,5
Silent Jay x Sergik - Move Me.wav,86.1,D major,10B,9
Lodin - A Letter From Home (Unreleased).mp3,129.2,D major,10B,6
DINO x SERGIK - MINIMAL.wav,129.2,F major,7B,7
remember_the_times.wav,103.4,D major,10B,6
you can fw us cd-6 edit.aif,129.2,D major,10B,7
Told Me (0).wav,78.3,E minor,9A,4
Waavy.wav,117.5,A major,11B,6
Hip Hop 6.mp3,152.0,D minor,7A,5
BENNY THE BUTCHER x 38 SPESH x JADAKISS Type Beat - Revenge.mp3,123.0,F# minor,11A,6
gaslamp district mv1.aif,92.3,A# minor,3A,6
On the Road session.mp3,86.1,B minor,10A,7
Dreaming Jet 3.mp3,129.2,D minor,7A,9
Jazz 1 bass.mp3,123.0,F major,7B,2
Hip Hop 10.mp3,86.1,E minor,9A,6
doors of perception.mp3,129.2,A minor,8A,5
Chasing Dreams (1).wav,123.0,A# minor,3A,5
Dreaming Jet 2.mp3,129.2,D minor,7A,9
understood (0).wav,92.3,F# minor,11A,5
6.24.24 V2.0 Smells like FUNK 114 bpm Note C.aif,112.3,C major,8B,6
Feel Good.wav,129.2,D minor,7A,5
Try Me Mix-Down_master 2.wav,86.1,A minor,8A,7
Old Fellas - Azare Ft. JCreate 3.mp3,80.7,A major,11B,6
DOMMO - MYLOVE4U.wav,129.2,F# minor,11A,9
Optikz x SERGIK(Vips) - Crowd Control - House.wav,123.0,A minor,8A,8
Rushh.wav,123.0,B minor,10A,6
Dilon Karim - Chancellor.wav,89.1,A major,11B,5
Chasing Dreams (0).wav,123.0,A# minor,3A,5
Try Me Mix-Down_master.wav,86.1,A minor,8A,7
mm chop.mp3,123.0,C minor,5A,1
jordan beat 2.mp3,83.4,D major,10B,6
Night Moon Light.mp3,86.1,C major,8B,6
Hip Hop 14.mp3,143.6,D major,10B,5
Chasing the sun to Tokyo.wav,89.1,E minor,9A,6
JIMII x Sergik - dublin.wav,86.1,D major,10B,8
hip hop 15.mp3,86.1,A minor,8A,6
SERPANT 1.aif,136.0,A minor,8A,6
Optikz x SERGIK(Vips) - Crowd Control - House _ Trap.wav,86.1,D major,10B,7
Samurai Showdown (0).wav,89.1,D major,10B,6
LANDR-emodrill_153bpm-Open-High 2.mp3,86.1,B major,1B,6
01 Arza (One Word) ruff mix 1.mp3,152.0,D minor,7A,6
Mykeology Audio.wav,76.0,A minor,8A,6
Arza - Already Know 129bpm A# min.wav,117.5,F minor,4A,4
SHAKEDIT.mp3,103.4,D major,10B,8
Sunday laxing.mp3,152.0,C major,8B,5
"diablo - coco, auxlee MASTER v1122.wav",129.2,A major,11B,6
ANDINO x SERGIK - Bird Talk.wav,86.1,G major,9B,6
We Should Save - Dubba Haus.wav,129.2,A major,11B,7
Dilon Karim - Attitude (Alternate Dub) 2.wav,86.1,D major,10B,6
10A - DAY N NITE (PIERCE REMIX) V3.wav,92.3,D major,10B,6
Mac Miller - Self Care Acapella (Vocals Only).mp3,143.6,A major,11B,5
hip hop 16.mp3,143.6,F# minor,11A,7
WHO R U v10.wav,86.1,D major,10B,7
8.30.24 V2.0 Tron 120 BPM Note C.aif,89.1,C major,8B,7
oldfocks nu samples.mp3,80.7,D major,10B,5
Dreaming Jet 4.mp3,129.2,D minor,7A,9
plain jane xeno flip newest remaster.wav,80.7,A minor,8A,6
OPTIKZ - SHAOLIN (M1).aif,86.1,A major,11B,5
Janis and The Planets x SERGIK - Searching.wav,92.3,F major,7B,5
8.5.24 V2.0 groovin 120 bpm Note G.aif,86.1,D major,10B,5
Lazy Afternoon (0).wav,136.0,A minor,8A,5
Hip Hop 1.mp3,143.6,G# minor,1A,6
Dream Street (0).wav,80.7,C# minor,12A,6
5.24.24 2.0 LOVE 120 bpm A.aif,117.5,A major,11B,5
Always Constant.wav,89.1,D major,10B,7
blew up before it even started 12 smx.wav,143.6,C major,8B,6
SERPANT.aif,136.0,A minor,8A,6
01 Arza x Y2 (Prince) Prod Dame x.mp3,92.3,D minor,7A,7
Andino x SERGIK - Coming Thru 12.wav,129.2,D major,10B,6
SLAPSTICK BABY.mp3,107.7,D major,10B,6
Darker side of the street.mp3,123.0,B minor,10A,5
Night at the roxbury (Bass house) (Jcreate).wav,86.1,A minor,8A,6
tester - Dido - Thank You (Breauxx Remix).mp3,123.0,A major,11B,6
Lose Control ANAMORPHIC Remix V17.wav,129.2,A major,11B,7
BAGGINS - GIVING IT (Silent Jay x Sergik Remix).wav,129.2,A minor,8A,5
Loose Leaf - Jet X MIKI.mp3,129.2,D major,10B,7
HOP BUNNY HOP.wav,92.3,E major,12B,7
versace mp3.mp3,89.1,F# minor,11A,7
"Daisy - Right Cheek, Left Cheek.mp3",143.6,A major,11B,6
SlowNMelloe.mp3,92.3,D minor,7A,6
Tenderly (0).wav,92.3,D minor,7A,6
uncertain 1st.wav,78.3,E minor,9A,6
RTB- CD-6.aif,143.6,D major,10B,7
flip the phase v3.wav,143.6,E minor,9A,5
Trip Hop 8.mp3,136.0,A# minor,3A,6
TEST.wav,117.5,D minor,7A,6
[FREE] Benny The Butcher Type Beat - 40 KEYZ.mp3,89.1,F# minor,11A,5
ARZA - Swear Fo.mp3,92.3,F# minor,11A,6
Arza - California Dreams & Nightmares 144bpm E min.wav,143.6,E minor,9A,6
Jazzy Situation.mp3,80.7,D major,10B,6
Feel Good (0).wav,129.2,D minor,7A,5
nsd x sergik - Get yours (Version 3).wav,117.5,F# major,2B,6
Lodin - I've Been Waitin' 2.wav,123.0,D major,10B,7
Sean Hart - ALWAYS SAFECRACKERAZ.wav,117.5,D major,10B,7
Ceemoar x Sergik - No Body.wav,86.1,D major,10B,9
Mike Crowe x SERGIK - Lifecycle Of Growth.wav,92.3,D major,10B,6
eta_x_Lodin_-_UP.mp3,86.1,A minor,8A,5
MARS.mp3,152.0,A minor,8A,6
today (0).wav,80.7,F major,7B,5
GOING UP SIR.wav,86.1,A minor,8A,7
frank terry x sergik - repeat [mstr v2] (worth the weight mastering).wav,86.1,D major,10B,6
Feel The Jam.mp3,89.1,A major,11B,4
Clowds of Color (0).wav,92.3,D minor,7A,5
Zack Thrasher X Sergik - Sauced.wav,123.0,D minor,7A,7
Hidden World of Fungi - Michael Crowe x SERGIK.wav,136.0,A minor,8A,5
love me for me.mp3,117.5,A major,11B,9
Anthany Ray - Stagger (SERGIK Master).wav,136.0,A minor,8A,5
In The Groove - JCreate x Mewgun (0).wav,92.3,E major,12B,5
The Third (0).wav,86.1,A minor,8A,6
Dilon Karim - Chancellor 1.wav,89.1,A major,11B,5
ANIMORPHIC-ALIEN TALK V10.wav,76.0,D major,10B,6
REMIND ME VOCAL.wav,112.3,A major,11B,5
C MAJOR W BATTLO.wav,92.3,A minor,8A,5
familyphoto - greg v1.wav,143.6,A minor,8A,6
Ease Da Mood.mp3,123.0,A major,11B,5
Auxlee x Silent Jay x SERGIK x Offmedz - Just Breathe.wav,117.5,D major,10B,6
NooD - bitch i grow v3.wav,123.0,F major,7B,5
Lodin - A Letter From Home.mp3,129.2,D major,10B,6
Me Being Subtle (0).wav,86.1,A major,11B,5
Stov x SERGIK - Decomp.wav,117.5,D major,10B,7
The Third Eye.wav,143.6,F minor,4A,5
Flexing (0).wav,143.6,E minor,9A,5
womwomwom 121BPM v2.wav,86.1,A major,11B,6
slick x _ - Acid Wash.wav,123.0,A major,11B,5
Nicko Angelo - Bleep System.wav,129.2,D major,10B,5
8.23.24 V3.0  Poly Rhythm 120 BPM Note C.aif,117.5,C major,8B,5
Slapz.mp3,143.6,D minor,7A,6
Noir.mp3,143.6,C# major,3B,6
Hip Hopamine (0).mp3,143.6,A# major,6B,6
On a Chill mode.mp3,86.1,A major,11B,6
Just Be Yourself.mp3,129.2,E minor,9A,4
Slapz.mp3,143.6,D minor,7A,6
hip hop jordan 21.mp3,89.1,C major,8B,6
hip hop jordan 08.mp3,89.1,D major,10B,6
hip hop jordan 33.mp3,136.0,F# minor,11A,6
hip hop jordan 32.mp3,123.0,A major,11B,6
hip hop jordan 24.mp3,86.1,A major,11B,6
hip hop jordan 31.mp3,80.7,D major,10B,6
hip hop jordan 25.mp3,152.0,D minor,7A,6
hip hop jordan 19.mp3,123.0,D minor,7A,5
Chillow Pillow.mp3,78.3,C# minor,12A,5
hip hop jordan 29.mp3,129.2,A major,11B,7
hip hop jordan 15.mp3,86.1,A minor,8A,6
hip hop jordan 01.mp3,143.6,G# minor,1A,6
hip hop jordan 04 1.mp3,107.7,F major,7B,5
hip hop jordan 17.mp3,123.0,F# minor,11A,6
hip hop jordan 03.mp3,129.2,D major,10B,6
hip hop jordan 02.mp3,117.5,C major,8B,6
hip hop jordan 16.mp3,143.6,F# minor,11A,7
hip hop jordan 12.mp3,92.3,F# major,2B,5
hip hop jordan 06.mp3,152.0,D minor,7A,5
hip hop jordan 07.mp3,152.0,D minor,7A,5
hip hop jordan 13.mp3,86.1,D major,10B,6
hip hop jordan 05.mp3,89.1,E minor,9A,5
